tokens,NE,alias,notes,score
oil leak,,,,0.012518860844550828
grease line,,,,0.008323554122102162
jump start,,,,0.007048966989473424
broken grease,,,,0.0069214152122428685
bucket tooth,,,,0.0065284918341134935
lube fault,,,,0.006147838509540754
replace bucket,,,,0.005732028819842802
replace tooth,,,,0.005058666199404186
line bucket,,,,0.0049964779636888
replace broken,,,,0.003994896160898544
rh engine,,,,0.0037936732289269135
slew motor,,,,0.003754397507419199
replace grease,,,,0.003651881611253057
grease lines,,,,0.003310389051171129
lh engine,,,,0.003295160491219556
replace missing,,,,0.003292467468007863
leak boom,,,,0.003091721699256603
hyd hose,,,,0.0029903951170114807
replace air,,,,0.002839243135875399
repair oil,,,,0.0027801709880720753
track roller,,,,0.002712117995108745
replace rh,,,,0.002632519212127641
lube pump,,,,0.00263099346946797
hydraulic oil,,,,0.002488125972137262
lost tooth,,,,0.002463046456345685
hydraulic hose,,,,0.002378297453390273
grease pump,,,,0.002369321607585861
repair grease,,,,0.002356232075805174
final drive,,,,0.002263440707101654
bucket teeth,,,,0.002216009551898707
repair broken,,,,0.0022055144623767697
replace blown,,,,0.0021618222696544575
replace lh,,,,0.002156319309595387
wont start,,,,0.0021197434206938546
rf check,,,,0.002098045878329352
engine oil,,,,0.002097923268115818
grease leak,,,,0.002052296504646446
oil leaks,,,,0.002007332983910455
lip shroud,,,,0.0019758501778039963
replace engine,,,,0.0019622229594478693
air filters,,,,0.0019453292337397573
won start,,,,0.0018633271593122304
blown hydraulic,,,,0.0018436646535941149
missing bucket,,,,0.001837949496215929
stick cylinder,,,,0.0017656773807382454
changeout left,,,,0.0017585890336748403
slew brake,,,,0.0017481922978239966
rh slew,,,,0.0017435563442763221
main pump,,,,0.0017174181128459508
blown hose,,,,0.0017017667701315464
lube line,,,,0.0016877963178718587
rh eng,,,,0.0016846646266807802
hose leaking,,,,0.0016672650172109586
hyd leak,,,,0.001666115189606623
engine wont,,,,0.0016428297999061595
grease fault,,,,0.0016416047561648374
lines bucket,,,,0.001629116930261079
engine won,,,,0.001616422208227508
leak engine,,,,0.0015923894644691153
changeout rh,,,,0.0015758638496042939
changeout right,,,,0.0015596844936872055
replace slew,,,,0.0015285975777700575
shd 24,,,,0.0015264365343796182
repair hyd,,,,0.0014959438855663147
hydraulic leak,,,,0.0014949653871420756
rh track,,,,0.0014941289572430053
blown hyd,,,,0.00148813735703118
air cleaners,,,,0.0014813783093417256
slew hose,,,,0.0014525751581993356
lh slew,,,,0.001440639009987878
control valve,,,,0.0014348442792209493
pump leaking,,,,0.0014019421147630218
leak lh,,,,0.0013582579251083873
bucket pin,,,,0.001356755602727538
broken bucket,,,,0.001350703972857371
pto lube,,,,0.001347442338995554
repair lube,,,,0.001336681032212
changeout lh,,,,0.0013332974342676186
check cooling,,,,0.0013234833063880671
boom cylinder,,,,0.001315032409434039
coolant leak,,,,0.0012980950625148492
replace hyd,,,,0.001282956597979183
lh track,,,,0.0012775087597794253
travel motor,,,,0.0012642518565591696
left hand,,,,0.0012630615686657642
fan pump,,,,0.0012569088939644812
start machine,,,,0.0012548374512661655
fault shd24,,,,0.0012547471530938894
right hand,,,,0.0012518223517863285
rf replace,,,,0.0012491912453166975
replace cab,,,,0.0012376265810039768
hyd oil,,,,0.001224101527600054
leak bucket,,,,0.001223910056017109
access stairs,,,,0.001202504368645632
fan belt,,,,0.001196918155210614
replace leaking,,,,0.0011969015770802393
replace hose,,,,0.0011617426167435233
pump drive,,,,0.0011481169617934821
track pin,,,,0.001145444089569165
repair hydraulic,,,,0.0011450875677617221
hp filter,,,,0.001144235234341904
fan motor,,,,0.001130157719327663
engine overheating,,,,0.0011135437454895714
missing tooth,,,,0.0011088184187680822
bucket cylinder,,,,0.0011033841264496821
air horns,,,,0.0010942231211433602
servo pump,,,,0.0010932965332867493
