tokens,NE,alias,notes,score
oil leak,,,,0.012518860844550827
grease line,,,,0.008323554122102162
jump start,,,,0.007048966989473424
broken grease,,,,0.0069214152122428685
bucket tooth,,,,0.006528491834113494
lube fault,,,,0.006147838509540754
replace bucket,,,,0.005732028819842802
replace tooth,,,,0.005058666199404186
line bucket,,,,0.0049964779636888
replace broken,,,,0.003994896160898544
rh engine,,,,0.003793673228926913
slew motor,,,,0.003754397507419199
replace grease,,,,0.0036518816112530573
grease lines,,,,0.003310389051171129
lh engine,,,,0.0032951604912195556
replace missing,,,,0.003292467468007863
leak boom,,,,0.0030917216992566027
hyd hose,,,,0.002990395117011481
replace air,,,,0.002839243135875399
repair oil,,,,0.0027801709880720753
track roller,,,,0.002712117995108745
replace rh,,,,0.002632519212127641
lube pump,,,,0.00263099346946797
hydraulic oil,,,,0.002488125972137262
lost tooth,,,,0.002463046456345685
hydraulic hose,,,,0.002378297453390273
grease pump,,,,0.0023693216075858603
repair grease,,,,0.002356232075805174
final drive,,,,0.002263440707101654
bucket teeth,,,,0.002216009551898707
repair broken,,,,0.0022055144623767697
replace blown,,,,0.0021618222696544575
replace lh,,,,0.002156319309595387
wont start,,,,0.0021197434206938546
rf check,,,,0.0020980458783293513
engine oil,,,,0.002097923268115818
grease leak,,,,0.002052296504646446
oil leaks,,,,0.002007332983910455
lip shroud,,,,0.001975850177803996
replace engine,,,,0.0019622229594478693
air filters,,,,0.0019453292337397576
won start,,,,0.0018633271593122302
blown hydraulic,,,,0.0018436646535941147
missing bucket,,,,0.0018379494962159294
stick cylinder,,,,0.0017656773807382454
changeout left,,,,0.0017585890336748403
slew brake,,,,0.0017481922978239966
rh slew,,,,0.001743556344276322
main pump,,,,0.0017174181128459508
blown hose,,,,0.0017017667701315464
lube line,,,,0.0016877963178718585
rh eng,,,,0.0016846646266807802
hose leaking,,,,0.0016672650172109584
hyd leak,,,,0.001666115189606623
engine wont,,,,0.0016428297999061595
grease fault,,,,0.0016416047561648372
lines bucket,,,,0.001629116930261079
engine won,,,,0.0016164222082275079
leak engine,,,,0.0015923894644691151
changeout rh,,,,0.0015758638496042939
changeout right,,,,0.0015596844936872057
replace slew,,,,0.0015285975777700575
